player,team,position,salary
Jalen Beeks,Texas Rangers,P,1975000
Alek Thomas,Los Angeles Dodgers,OF,1962500
Alek Manoah,Los Angeles Angels,P,1950000
Nick Mears,Kansas City Royals,P,1900000
JT Brubaker,San Francisco Giants,P,1820000
Javier Assad,Chicago Cubs,P,1800000
Shane Baz,Baltimore Orioles,P,1800000
Calvin Faucher,Miami Marlins,P,1800000
Tony Santillan,Cincinnati Reds,P,1800000
Graham Ashcraft,Cincinnati Reds,P,1750000
Adam Frazier,Los Angeles Angels,2B,1750000
Nathaniel Lowe,Cincinnati Reds,1B,1750000
Tim Mayza,Philadelphia Phillies,P,1750000
Gary Sánchez,Milwaukee Brewers,C,1750000
Will Benson,Cincinnati Reds,OF,1725000
Anthony Banda,Minnesota Twins,P,1625000
Samuel Basallo,Baltimore Orioles,C,1625000
Triston Casas,Boston Red Sox,1B,1610000
Alex Call,Los Angeles Dodgers,OF,1600000
Yennier Cano,Baltimore Orioles,P,1600000
Enyel De Los Santos,Houston Astros,P,1600000
Romy Gonzalez,Boston Red Sox,2B,1600000
Eric Haase,San Francisco Giants,C,1600000
Jose Siri,Los Angeles Angels,OF,1600000
Tyler Holton,Detroit Tigers,P,1575000
Michael Massey,Kansas City Royals,2B,1570000
Matt Brash,Seattle Mariners,P,1550000
Taylor Clarke,Arizona Diamondbacks,P,1550000
Jimmy Herget,Colorado Rockies,P,1550000
Johan Oviedo,Boston Red Sox,P,1550000
Braxton Garrett,Miami Marlins,P,1530000
Tyler Freeman,Colorado Rockies,OF,1525000
Jake McCarthy,Colorado Rockies,OF,1525000
Edwin Uceta,Tampa Bay Rays,P,1525000
Steven Wilson,Tampa Bay Rays,P,1520000
Miguel Andujar,San Diego Padres,OF,1500000
Walker Buehler,San Diego Padres,P,1500000
Danny Coulombe,Boston Red Sox,P,1500000
Erick Fedde,Chicago White Sox,P,1500000
Lucas Giolito,San Diego Padres,P,1500000
Colin Holderman,Cleveland Guardians,P,1500000
Rhys Hoskins,Cleveland Guardians,1B,1500000
John King,Miami Marlins,P,1500000
Peter Lambert,Houston Astros,P,1500000
Jonathan Loaisiga,Arizona Diamondbacks,P,1500000
Joey Lucchesi,Los Angeles Angels,P,1500000
MJ Melendez,New York Mets,OF,1500000
Paul Sewald,Arizona Diamondbacks,P,1500000
Burch Smith,Detroit Tigers,P,1500000
Ramon Urias,St. Louis Cardinals,2B,1500000
José Urquidy,Pittsburgh Pirates,P,1500000
Jacob Webb,Chicago Cubs,P,1500000
Fernando Cruz,New York Yankees,P,1450000
Dylan Moore,Philadelphia Phillies,2B,1450000
Tyler Soderstrom,Athletics,OF,1428571
Jacob Wilson,Athletics,SS,1428571
Nick Allen,Houston Astros,SS,1400000
J.J. Bleday,Cincinnati Reds,OF,1400000
Sam Hentges,San Francisco Giants,P,1400000
Ezequiel Duran,Texas Rangers,2B,1375000
David Fry,Cleveland Guardians,C,1375000
Connor Wong,Boston Red Sox,C,1375000
Ty France,San Diego Padres,1B,1350000
Josiah Gray,Washington Nationals,P,1350000
Alex Jackson,Minnesota Twins,C,1350000
Starling Marte,Kansas City Royals,OF,1350000
Nate Pearson,Houston Astros,P,1350000
Ryan Weathers,New York Yankees,P,1350000
Enmanuel De Jesus,Detroit Tigers,P,1300000
Reed Garrett,New York Mets,P,1300000
Gregory Santos,San Francisco Giants,P,1300000
Brock Stewart,Los Angeles Dodgers,P,1300000
Keegan Thompson,Colorado Rockies,P,1300000
Bryan Baker,Tampa Bay Rays,P,1275000
Orlando Arcia,Minnesota Twins,SS,1250000
Tyler Austin,Chicago Cubs,1B,1250000
Akil Baddoo,Milwaukee Brewers,OF,1250000
Kyle Farmer,Atlanta Braves,SS,1250000
Jonah Heim,Athletics,C,1250000
Scott Kingery,Chicago Cubs,2B,1250000
